nom_standard,code_insee,code_postal,dep_code,dep_nom,population,maire_nom,maire_prenom
Saint-Paul-de-Varax,01383,1240.0,01,Ain,1641.0,MANCINI,Cédric
Saint-Rambert-en-Bugey,01384,1230.0,01,Ain,2173.0,CANARD,Josiane
Saint-Rémy,01385,1310.0,01,Ain,943.0,MALLET,Christophe
Saint-Sorlin-en-Bugey,01386,1150.0,01,Ain,1125.0,MILLET,Patrick
Saint-Sulpice,01387,1340.0,01,Ain,260.0,FOURNIER,Clotilde
Saint-Trivier-de-Courtes,01388,1560.0,01,Ain,1119.0,BERNARD,Yves
Saint-Trivier-sur-Moignans,01389,1990.0,01,Ain,1857.0,LANIER,Marcel
Saint-Vulbas,01390,1150.0,01,Ain,1234.0,JACQUIN,Marcel
Salavre,01391,1270.0,01,Ain,284.0,FÉAUD,Jacques
Samognat,01392,1580.0,01,Ain,660.0,ESCODA,Annie
Sandrans,01393,1400.0,01,Ain,567.0,TAPONAT,Bernard
Sault-Brénaz,01396,1150.0,01,Ain,997.0,ALONSO,Nazarello
Sauverny,01397,1220.0,01,Ain,992.0,HENNIQUAU,Isabelle
Savigneux,01398,1480.0,01,Ain,1449.0,GARNIER,Gilles
Ségny,01399,1170.0,01,Ain,2412.0,FOUILLOUX,Jean-Pierre
Seillonnaz,01400,1470.0,01,Ain,137.0,OGERET,Agnès
Sergy,01401,1630.0,01,Ain,2218.0,MOINE,Catherine
Sermoyer,01402,1190.0,01,Ain,648.0,PANCHOT,Huguette
Serrières-de-Briord,01403,1470.0,01,Ain,1312.0,BEGUET,Daniel
Serrières-sur-Ain,01404,1450.0,01,Ain,134.0,BOULMÉ,Jean-Michel
Servas,01405,1960.0,01,Ain,1270.0,GUERIN,Serge
Servignat,01406,1560.0,01,Ain,175.0,VIALLON,Laurent
Seyssel,01407,1420.0,01,Ain,1001.0,BOTTERI,Michel
Simandre-sur-Suran,01408,1250.0,01,Ain,656.0,BAVOUX,Marc
Sonthonnax-la-Montagne,01410,1580.0,01,Ain,292.0,MONACI,Fabrice
